"","MAT","yhat"
"1",-13.9507761001587,15.0553277604723
"2",-13.5298229949643,14.9780368554211
"3",-13.1088698897699,14.7084073428921
"4",-12.6879167845755,14.5573282767052
"5",-12.2669636793811,14.3866832709621
"6",-11.8460105741867,14.101025748064
"7",-11.4250574689923,13.905977765807
"8",-11.0041043637979,13.7608787466839
"9",-10.5831512586035,13.6772717058955
"10",-10.1621981534091,13.5799566461197
"11",-9.7412450482147,13.5198874461368
"12",-9.3202919430203,13.4022489487804
"13",-8.8993388378259,13.2435047602839
"14",-8.4783857326315,13.1222852243261
"15",-8.0574326274371,12.9987611898688
"16",-7.6364795222427,12.9207487252639
"17",-7.2155264170483,12.7920846918487
"18",-6.7945733118539,12.6849802645604
"19",-6.3736202066595,12.584660732663
"20",-5.9526671014651,12.4893670656091
"21",-5.5317139962707,12.3671669593593
"22",-5.1107608910763,12.3106711430051
"23",-4.6898077858819,12.2558895271063
"24",-4.2688546806875,12.206715402383
"25",-3.8479015754931,12.1587358257848
"26",-3.4269484702987,12.1310869427887
"27",-3.0059953651043,12.0833292203391
"28",-2.5850422599099,12.0467556329427
"29",-2.1640891547155,12.0187225716982
"30",-1.7431360495211,11.9912003391737
"31",-1.3221829443267,11.9671326907511
"32",-0.9012298391323,11.9628037416608
"33",-0.480276733937901,11.9573361059587
"34",-0.0593236287435008,11.9631879748916
"35",0.361629476450899,11.9632345055843
"36",0.782582581645299,11.9637418279115
"37",1.2035356868397,11.9352341405917
"38",1.6244887920341,11.8975172150234
"39",2.0454418972285,11.8435545718864
"40",2.4663950024229,11.8094297197593
"41",2.8873481076173,11.7088100074673
"42",3.3083012128117,11.6553413208338
"43",3.7292543180061,11.5645739034698
"44",4.1502074232005,11.4125216798058
"45",4.5711605283949,11.1552220077278
"46",4.9921136335893,11.016562798933
"47",5.4130667387837,10.9135899140263
"48",5.8340198439781,10.8626275803571
"49",6.2549729491725,10.8223140145829
"50",6.6759260543669,10.7891073406561
"51",7.0968791595613,10.7608753299115
"52",7.5178322647557,10.7494759622724
"53",7.9387853699501,10.7418193994429
"54",8.3597384751445,10.6889875977677
"55",8.7806915803389,10.6175824074111
"56",9.2016446855333,10.5955677666012
"57",9.6225977907277,10.5604252664878
"58",10.0435508959221,10.4622429873134
"59",10.4645040011165,10.169004395949
"60",10.8854571063109,10.0533475535924
"61",11.3064102115053,10.0248666960776
"62",11.7273633166997,9.98406944410819
"63",12.1483164218941,9.92518385664952
"64",12.5692695270885,9.89537956135524
"65",12.9902226322829,9.6984528090142
"66",13.4111757374773,9.66038133067156
"67",13.8321288426717,9.64155193745597
"68",14.2530819478661,9.62758894669699
"69",14.6740350530605,9.62133615349309
"70",15.0949881582549,9.61887176614276
"71",15.5159412634493,9.62095288450251
"72",15.9368943686437,9.63995853192662
"73",16.3578474738381,9.65993187252867
"74",16.7788005790325,9.68298604545527
"75",17.1997536842269,9.699438356059
"76",17.6207067894213,9.70788581218994
"77",18.0416598946157,9.7273376398458
"78",18.4626129998101,9.74231359844831
"79",18.8835661050045,9.75949224320364
"80",19.3045192101989,9.77967820626209
"81",19.7254723153933,9.80467605314554
"82",20.1464254205877,9.82885433951227
"83",20.5673785257821,9.87189115610339
"84",20.9883316309765,9.90332430370414
"85",21.4092847361709,9.93664994516451
"86",21.8302378413653,9.9619816490396
"87",22.2511909465597,10.0257090391799
"88",22.6721440517541,10.0527458081803
"89",23.0930971569485,10.0905605803842
"90",23.5140502621429,10.127009256078
"91",23.9350033673373,10.1718061802971
"92",24.3559564725317,10.2279667889167
"93",24.7769095777261,10.3127270514054
"94",25.1978626829205,10.3632571789584
"95",25.6188157881149,10.6144271566432
"96",26.0397688933093,10.8579273605422
"97",26.4607219985037,10.9285532488776
"98",26.8816751036981,11.0039907225933
"99",27.3026282088925,11.0860358167526
"100",27.7235813140869,11.1678788674469
